Nom;Aspect;Curvature;DEM;Density_river;Density_road;Distance_river;Distance_road;Flow_direction;NDBI;NDVI;NDWI;Slope;TWI_final;Rainfall
Yes;0;0,527473;0,0011;0,336114;0,214251;0,016012;0,018605;0,059055;0,321784;0,859516;0,678216;0;0,445898;0,874878
Yes;0;0,527473;0,00055;0,311509;0,163844;0,084846;0,006513;0,248031;0,500436;0,717025;0,499564;0;0,506741;0,869081
Yes;0;0,527473;0,00055;0,296132;0,151825;0,101902;0,011935;0,248031;0,505136;0,690436;0,494864;0;0,650643;0,867418
Yes;0;0,527473;0,001649;0,551271;0,067188;0,060323;0,008091;0,059055;0,445847;0,345206;0,554153;0;0,568011;0,92469
Yes;0;0,527473;0,004398;0,658474;0,187664;0,081466;0,003618;0,011811;0,357875;0,80443;0,642125;0;0,596508;0,806391
Yes;0;0,527473;0,004948;0,570149;0,188857;0,07857;0,011691;0,027559;0,328102;0,874258;0,671898;0;0,603527;0,799816
Yes;0;0,527473;0,004948;0,510243;0,188393;0,042713;0,008439;0,027559;0,385542;0,808641;0,614458;0;0,452877;0,808232
Yes;0;0,527473;0,002199;0,283887;0,166472;0,23594;0,039484;0,248031;0,615391;0,479054;0,384609;0;0,502622;0,868272
Yes;0;0,527473;0,00055;0,590925;0,165688;0,028437;0,002895;0,011811;0,31404;0,882887;0,68596;0;0,587872;0,899777
Yes;0;0,527473;0,00055;0,555381;0,191989;0,018842;0,006513;0;0,317119;0,877436;0,682881;0;0,515648;0,895019
Yes;0;0,527473;0,00055;0,658648;0,189558;0,018842;0;0;0,408581;0,77292;0,591419;0;0,592839;0,900565
Yes;0;0,527473;0,00055;0,705367;0,198229;0,009421;0,000724;0;0,38613;0,795462;0,61387;0;0,598627;0,904177
Yes;0;0,527473;0,005498;0,353734;0,199202;0,022645;0,013749;0;0,603087;0,635749;0,396913;0;0,502622;0,801388
Yes;0;0,527473;0,004948;0,35754;0,202015;0,043739;0,008714;0;0,66383;0,58404;0,33617;0;0,458924;0,799726
Yes;0;0,527473;0,004398;0,291774;0,192211;0;0,049969;0,5;0,542307;0,638305;0,457693;0;0,572373;0,798422
Yes;0;0,527473;0,002749;0,300984;0,206452;0,14476;0,024604;0;0,622701;0,476896;0,377299;0;0,521695;0,870548
Yes;0;0,527473;0,002199;0,291965;0,214609;0,210774;0,040782;0;0,618311;0,477338;0,381689;0;0,517237;0,870726
Yes;0;0,527473;0,001649;0,329845;0,245059;0,091285;0,00796;0,059055;0,589412;0,421878;0,410588;0;0,427538;0,873435
Yes;0;0,527473;0,004948;0,383572;0,124824;0,082906;0,041527;0;0,614141;0,457447;0,385859;0;0,502622;0,844866
Yes;0;0,527473;0,003848;0,361909;0,129251;0,155912;0,058096;0;0,601471;0,481564;0,398529;0;0,396153;0,846479
Yes;0;0,527473;0,003848;0,339166;0,142989;0,309809;0,032508;0,248031;0,576781;0,564053;0,423219;0;0,458924;0,850649
Yes;0,002773;0,538462;0,004948;0,357349;0,138094;0,219843;0,03364;0,248031;0,527335;0,639645;0,472665;0,039179;0,281788;0,850258
Yes;0;0,527473;0,004948;0,377558;0,07466;0,123114;0,021589;0,248031;0,364376;0,785528;0,635625;0;0,512293;0,825634
Yes;0;0,527473;0,004948;0,390781;0,09623;0,138173;0,024604;0,059055;0,613537;0,470286;0,386463;0;0,504729;0,82945
Yes;0;0,527473;0,004948;0,406274;0,105687;0,083144;0,054192;0,248031;0,622235;0,474805;0,377765;0;0,502622;0,83266
Yes;0;0,527473;0,00055;0,715293;0,177095;0,044962;0,012131;0,011811;0,299021;0,885684;0,700979;0;0,596779;0,907397
Yes;0;0,527473;0,00055;0,755784;0,142548;0,028263;0,049134;0,011811;0,318291;0,856283;0,681709;0;0,592247;0,902421
Yes;0;0,527473;0,00055;0,51256;0,096397;0,00314;0,018871;0;0,245501;0,449572;0,754499;0;0,537132;0,922676
Yes;0;0,527473;0,00055;0,461539;0,121319;0,028952;0,004094;0;0,271584;0,355132;0,728416;0;0,589799;0,932339
Yes;0;0,527473;0,00055;0,566785;0,124032;0,176109;0,005511;0,011811;0,324294;0,8728;0,675706;0;0,575064;0,946071
Yes;0;0,527473;0,00055;0,711072;0,212299;0,004441;0,009843;0;0,333688;0,859182;0,666312;0;0,603527;0,902636
Yes;0;0,527473;0,0011;0,341944;0,255956;0,071195;0,027193;0;0,308231;0,872544;0,691769;0;0,572373;0,878607
Yes;0;0,527473;0,001649;0,30864;0,234644;0,031403;0,016707;0,248031;0,306132;0,869144;0,693869;0;0,523088;0,875992
Yes;0;0,527473;0,001649;0,284114;0,210072;0,006281;0,022433;0,248031;0,311561;0,879127;0,688438;0;0,445898;0,872381
